Title,Actors,Description
Gangster Squad,"Sean Penn, Ryan Gosling, Emma Stone, Giovanni Ribisi","It's 1949 Los Angeles, the city is run by gangsters and a malicious mobster, Mickey Cohen. Determined to end the corruption, John O'Mara assembles a team of cops, ready to take down the ruthless leader and restore peace to the city."
Blood Father,"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks",An ex-con reunites with his estranged wayward 17-year old daughter to protect her from drug dealers who are trying to kill her.
He's Just Not That Into You,"Jennifer Aniston, Jennifer Connelly, Morgan Lily,Trenton Rogers",The Baltimore-set movie of interconnecting story arcs deals with the challenges of reading or misreading human behavior.
Kung Fu Panda 3,"Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie","Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to his home."
The Rise of the Krays,"Matt Vael, Simon Cotton, Kevin Leslie, Olivia Moyles",Two brothers unleash a psychotic reign of terror on their journey to build an empire of unprecedented power in the British Mafia.
Handsome Devil,"Fionn O'Shea, Nicholas Galitzine, Andrew Scott, Moe Dunford",Ned and Conor are forced to share a bedroom at their boarding school. The loner and the star athlete at this rugby-mad school form an unlikely friendship until it's tested by the authorities.
Winter's Bone,"Jennifer Lawrence, John Hawkes, Garret Dillahunt,Isaiah Stone",An unflinching Ozark Mountain girl hacks through dangerous social terrain as she hunts down her drug-dealing father while trying to keep her family intact.
Horrible Bosses,"Jason Bateman, Charlie Day, Jason Sudeikis, Steve Wiebe",Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.
Mommy,"Anne Dorval, Antoine-Olivier Pilon, Suzanne Clément,Patrick Huard","A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household."
Hellboy II: The Golden Army,"Ron Perlman, Selma Blair, Doug Jones, John Alexander","The mythical world starts a rebellion against humanity in order to rule the Earth, so Hellboy and his team must save the world from the rebellious creatures."
Beautiful Creatures,"Alice Englert, Viola Davis, Emma Thompson,Alden Ehrenreich","Ethan longs to escape his small Southern town. He meets a mysterious new girl, Lena. Together, they uncover dark secrets about their respective families, their history and their town."
Toni Erdmann,"Sandra Hüller, Peter Simonischek, Michael Wittenborn,Thomas Loibl",A practical joking father tries to reconnect with his hard working daughter by creating an outrageous alter ego and posing as her CEO's life coach.
The Lovely Bones,"Rachel Weisz, Mark Wahlberg, Saoirse Ronan, Susan Sarandon",Centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. She must weigh her desire for vengeance against her desire for her family to heal.
The Assassination of Jesse James by the Coward Robert Ford,"Brad Pitt, Casey Affleck, Sam Shepard, Mary-Louise Parker","Robert Ford, who's idolized Jesse James since childhood, tries hard to join the reforming gang of the Missouri outlaw, but gradually becomes resentful of the bandit leader."
Don Jon,"Joseph Gordon-Levitt, Scarlett Johansson,Julianne Moore, Tony Danza","A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love."
Bastille Day,"Idris Elba, Richard Madden, Charlotte Le Bon, Kelly Reilly",A young con artist and an unruly CIA agent embark on an anti-terrorist mission in France.
2307: Winter's Dream,"Paul Sidhu, Branden Coles, Arielle Holmes, Kelcey Watson","In 2307, a future soldier is sent on a mission to hunt down the leader of the humanoid rebellion."
Free State of Jones,"Matthew McConaughey, Gugu Mbatha-Raw, Mahershala Ali, Keri Russell","A disillusioned Confederate army deserter returns to Mississippi and leads a militia of fellow deserters, runaway slaves, and women in an uprising against the corrupt local Confederate government."
Mr. Right,"Anna Kendrick, Sam Rockwell, Tim Roth, James Ransone","A girl falls for the ""perfect"" guy, who happens to have a very fatal flaw: he's a hitman on the run from the crime cartels who employ him."
The Secret Life of Walter Mitty,"Ben Stiller, Kristen Wiig, Jon Daly, Kathryn Hahn","When his job along with that of his co-worker are threatened, Walter takes action in the real world embarking on a global journey that turns into an adventure more extraordinary than anything he could have ever imagined."
Dope,"Shameik Moore, Tony Revolori, Kiersey Clemons,Kimberly Elise","Life changes for Malcolm, a geek who's surviving life in a tough neighborhood, after a chance invitation to an underground party leads him and his friends into a Los Angeles adventure."
Underworld Awakening,"Kate Beckinsale, Michael Ealy, India Eisley, Stephen Rea","When human forces discover the existence of the Vampire and Lycan clans, a war to eradicate both species commences. The vampire warrior Selene leads the battle against humankind."
Antichrist,"Willem Dafoe, Charlotte Gainsbourg, Storm Acheche Sahlstrøm","A grieving couple retreat to their cabin in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse."
Friday the 13th,"Jared Padalecki, Amanda Righetti, Derek Mears,Danielle Panabaker","A group of young adults discover a boarded up Camp Crystal Lake, where they soon encounter Jason Voorhees and his deadly intentions."
Taken 3,"Liam Neeson, Forest Whitaker, Maggie Grace,Famke Janssen","Ex-government operative Bryan Mills is accused of a ruthless murder he never committed or witnessed. As he is tracked and pursued, Mills brings out his particular set of skills to find the true killer and clear his name."
Total Recall,"Colin Farrell, Bokeem Woodbine, Bryan Cranston,Kate Beckinsale","A factory worker, Douglas Quaid, begins to suspect that he is a spy after visiting Rekall - a company that provides its clients with implanted fake memories of a life they would like to have led - goes wrong and he finds himself on the run."
X-Men: The Last Stand,"Patrick Stewart, Hugh Jackman, Halle Berry, Famke Janssen","When a cure is found to treat mutations, lines are drawn amongst the X-Men, led by Professor Charles Xavier, and the Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto."
The Escort,"Lyndsy Fonseca, Michael Doneger, Tommy Dewey,Bruce Campbell","Desperate for a good story, a sex-addicted journalist throws himself into the world of high-class escorts when he starts following a Stanford-educated prostitute."
The Whole Truth,"Keanu Reeves, Renée Zellweger, Gugu Mbatha-Raw, Gabriel Basso",A defense attorney works to get his teenage client acquitted of murdering his wealthy father.
Night at the Museum: Secret of the Tomb,"Ben Stiller, Robin Williams, Owen Wilson, Dick Van Dyke","Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever."
Love & Other Drugs,"Jake Gyllenhaal, Anne Hathaway, Judy Greer, Oliver Platt",A young woman suffering from Parkinson's befriends a drug rep working for Pfizer in 1990s Pittsburgh.
The Interview,"James Franco, Seth Rogen, Randall Park, Lizzy Caplan","Dave Skylark and his producer Aaron Rapoport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to turn their trip to Pyongyang into an assassination mission."
The Host,"Kang-ho Song, Hee-Bong Byun, Hae-il Park, Doona Bae",A monster emerges from Seoul's Han River and focuses its attention on attacking people. One victim's loving family does what it can to rescue her from its clutches.
Megan Is Missing,"Amber Perkins, Rachel Quinn, Dean Waite, Jael Elizabeth Steinmeyer",Two teenage girls encounter an Internet child predator.
WALL-E,"Ben Burtt, Elissa Knight, Jeff Garlin, Fred Willard","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
Knocked Up,"Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann","For fun-loving party animal Ben Stone, the last thing he ever expected was for his one-night stand to show up on his doorstep eight weeks later to tell him she's pregnant with his child."
Source Code,"Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga,Jeffrey Wright",A soldier wakes up in someone else's body and discovers he's part of an experimental government program to find the bomber of a commuter train. A mission he has only 8 minutes to complete.
Lawless,"Tom Hardy, Shia LaBeouf, Guy Pearce, Jason Clarke","Set in Depression-era Franklin County, Virginia, a trio of bootlegging brothers are threatened by a new special deputy and other authorities angling for a cut of their profits."
Unfriended,"Heather Sossaman, Matthew Bohrer, Courtney Halverson, Shelley Hennig","A group of online chat room friends find themselves haunted by a mysterious, supernatural force using the account of their dead friend."
American Reunion,"Jason Biggs, Alyson Hannigan,Seann William Scott, Chris Klein","Jim, Michelle, Stifler, and their friends reunite in East Great Falls, Michigan for their high school reunion."
The Pursuit of Happyness,"Will Smith, Thandie Newton, Jaden Smith, Brian Howe",A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.
Relatos salvajes,"Darío Grandinetti, María Marull, Mónica Villa, Rita Cortese",Six short stories that explore the extremities of human behavior involving people in distress.
The Ridiculous 6,"Adam Sandler, Terry Crews, Jorge Garcia, Taylor Lautner","An outlaw who was raised by Native Americans discovers that he has five half-brothers; together the men go on a mission to find their wayward, deadbeat dad."
Frantz,"Pierre Niney, Paula Beer, Ernst Stötzner, Marie Gruber","In the aftermath of WWI, a young German who grieves the death of her fiancé in France meets a mysterious Frenchman who visits the fiancé's grave to lay flowers."
Viral,"Sofia Black-D'Elia, Analeigh Tipton,Travis Tope, Michael Kelly","Following the outbreak of a virus that wipes out the majority of the human population, a young woman documents her family's new life in quarantine and tries to protect her infected sister."
Gran Torino,"Clint Eastwood, Bee Vang, Christopher Carley,Ahney Her","Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino."
